Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,PacketClassification
0,192.168.1.93,151.101.62.133,TCP,78,64,49945,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.000082,192.168.1.93,151.101.62.133,TCP,78,64,49946,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.008606,151.101.62.133,192.168.1.93,TCP,74,60,80,49945,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.008665,192.168.1.93,151.101.62.133,TCP,66,52,49945,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.009778,151.101.62.133,192.168.1.93,TCP,74,60,80,49946,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.009844,192.168.1.93,151.101.62.133,TCP,66,52,49946,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.831732,192.168.1.93,172.217.16.227,TCP,78,64,49958,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.84152,172.217.16.227,192.168.1.93,TCP,74,60,80,49958,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.841606,192.168.1.93,172.217.16.227,TCP,66,52,49958,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.842304,192.168.1.93,172.217.16.227,HTTP,367,353,49958,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.852302,172.217.16.227,192.168.1.93,TCP,66,52,80,49958,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.85448,172.217.16.227,192.168.1.93,OCSP,778,764,80,49958,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.854538,192.168.1.93,172.217.16.227,TCP,66,52,49958,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.860092,192.168.1.93,172.217.16.227,TCP,66,52,49958,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.870397,172.217.16.227,192.168.1.93,TCP,66,52,80,49958,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
