"No.","Time","Source","Destination","Protocol","Length","Total Length","Source Port","Destination Port","DestinationMacAddress","SourceMacAddress"
"198","73.438977","192.168.1.93","192.168.1.79","TCP","54","40","80","63067","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"199","73.438978","192.168.1.93","192.168.1.79","TCP","54","40","80","63068","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"200","73.438978","192.168.1.93","192.168.1.79","TCP","54","40","80","63069","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"201","73.438979","192.168.1.93","192.168.1.79","TCP","54","40","80","63070","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"202","73.438979","192.168.1.93","192.168.1.79","TCP","54","40","80","63071","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"203","73.438979","192.168.1.93","192.168.1.79","TCP","54","40","80","63072","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"204","73.438980","192.168.1.93","192.168.1.79","TCP","54","40","80","63073","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"205","73.438980","192.168.1.93","192.168.1.79","TCP","54","40","80","63074","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"206","73.438981","192.168.1.93","192.168.1.79","TCP","54","40","80","63075","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"207","73.438981","192.168.1.93","192.168.1.79","TCP","54","40","80","63076","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"208","73.438981","192.168.1.93","192.168.1.79","TCP","54","40","80","63077","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"209","73.439097","192.168.1.93","192.168.1.79","TCP","54","40","80","63078","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"210","73.439098","192.168.1.93","192.168.1.79","TCP","54","40","80","63079","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"211","73.439098","192.168.1.93","192.168.1.79","TCP","54","40","80","63080","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"212","73.439099","192.168.1.93","192.168.1.79","TCP","54","40","80","63081","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"213","73.439099","192.168.1.93","192.168.1.79","TCP","54","40","80","63082","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"214","73.439099","192.168.1.93","192.168.1.79","TCP","54","40","80","63083","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"215","73.439100","192.168.1.93","192.168.1.79","TCP","54","40","80","63084","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"216","73.439100","192.168.1.93","192.168.1.79","TCP","54","40","80","63085","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"217","73.439101","192.168.1.93","192.168.1.79","TCP","54","40","80","63086","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"218","73.439101","192.168.1.93","192.168.1.79","TCP","54","40","80","63087","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"219","73.439101","192.168.1.93","192.168.1.79","TCP","54","40","80","63088","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"220","73.439102","192.168.1.93","192.168.1.79","TCP","54","40","80","63089","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"221","73.439103","192.168.1.93","192.168.1.79","TCP","54","40","80","63090","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"222","73.439103","192.168.1.93","192.168.1.79","TCP","54","40","80","63091","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"223","73.439104","192.168.1.93","192.168.1.79","TCP","54","40","80","63092","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"224","73.439104","192.168.1.93","192.168.1.79","TCP","54","40","80","63093","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"225","73.439105","192.168.1.93","192.168.1.79","TCP","54","40","80","63094","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"226","73.439105","192.168.1.93","192.168.1.79","TCP","54","40","80","63095","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"227","73.439105","192.168.1.93","192.168.1.79","TCP","54","40","80","63096","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"228","73.439106","192.168.1.93","192.168.1.79","TCP","54","40","80","63097","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"229","73.439106","192.168.1.93","192.168.1.79","TCP","54","40","80","63098","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"230","73.439107","192.168.1.93","192.168.1.79","TCP","54","40","80","63099","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"231","73.439107","192.168.1.93","192.168.1.79","TCP","54","40","80","63100","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"232","73.439107","192.168.1.93","192.168.1.79","TCP","54","40","80","63101","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"233","73.439108","192.168.1.93","192.168.1.79","TCP","54","40","80","63102","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
