"No.","Time","Source","Destination","Protocol","Length","Total Length","Source Port","Destination Port","DestinationMacAddress","SourceMacAddress"
"62","27.212211","104.95.180.219","192.168.1.93","TCP","66","52","443","49434","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"63","30.581903","192.168.1.93","213.121.31.50","TCP","54","40","49433","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"64","30.581904","192.168.1.93","213.121.31.50","TCP","54","40","49411","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"65","30.593695","213.121.31.50","192.168.1.93","TCP","66","52","443","49411","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"66","30.593710","213.121.31.50","192.168.1.93","TCP","66","52","443","49433","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"67","31.082411","192.168.1.93","213.121.31.65","TCP","54","40","49438","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"68","31.082412","192.168.1.93","213.121.31.17","TCP","54","40","49427","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"69","31.082412","192.168.1.93","213.121.31.17","TCP","54","40","49426","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"70","31.100916","213.121.31.65","192.168.1.93","TCP","66","52","443","49438","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"71","31.102996","213.121.31.17","192.168.1.93","TCP","66","52","443","49427","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"72","31.114565","213.121.31.17","192.168.1.93","TCP","66","52","443","49426","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"73","31.583516","192.168.1.93","213.121.31.65","TCP","54","40","49437","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"74","31.593014","213.121.31.65","192.168.1.93","TCP","66","52","443","49437","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"75","32.835729","192.168.1.93","199.232.174.2","TCP","54","40","49293","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"76","32.845837","199.232.174.2","192.168.1.93","TCP","66","52","443","49293","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"77","55.222843","192.168.1.93","52.111.242.6","TLSv1.2","83","69","49354","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"78","55.234684","52.111.242.6","192.168.1.93","TLSv1.2","79","65","443","49354","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"79","55.234773","192.168.1.93","52.111.242.6","TCP","54","40","49354","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"80","57.270443","192.168.1.93","151.101.62.133","TCP","54","40","49253","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"81","57.281165","151.101.62.133","192.168.1.93","TCP","66","52","443","49253","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"82","57.777481","192.168.1.93","74.125.133.188","TCP","54","40","49194","5228","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"83","57.793404","74.125.133.188","192.168.1.93","TCP","66","52","5228","49194","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"84","66.531873","192.168.1.93","13.227.171.225","TCP","54","40","49445","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"85","66.531873","192.168.1.93","213.121.31.50","TCP","54","40","49410","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"86","66.531874","192.168.1.93","213.121.31.50","TCP","54","40","49409","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"87","66.541298","213.121.31.50","192.168.1.93","TCP","66","52","443","49409","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"88","66.542316","213.121.31.50","192.168.1.93","TCP","66","52","443","49410","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"89","66.542754","13.227.171.225","192.168.1.93","TCP","66","52","443","49445","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"90","67.549056","192.168.1.93","213.123.255.86","TCP","54","40","49416","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"91","67.552707","34.120.195.249","192.168.1.93","TLSv1.2","139","125","443","49425","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"92","67.552795","192.168.1.93","34.120.195.249","TCP","66","52","49425","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"93","67.552992","192.168.1.93","34.120.195.249","TCP","66","52","49425","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"94","67.558534","213.123.255.86","192.168.1.93","TCP","66","52","443","49416","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"95","67.567020","34.120.195.249","192.168.1.93","TCP","66","52","443","49425","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"96","67.567137","192.168.1.93","34.120.195.249","TCP","66","52","49425","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"97","68.158396","192.168.1.93","185.38.21.4","TCP","54","40","49406","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"98","68.177304","185.38.21.4","192.168.1.93","TCP","60","40","443","49406","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"99","68.663985","192.168.1.93","194.169.249.165","TCP","54","40","49405","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"100","68.683965","194.169.249.165","192.168.1.93","TCP","60","40","443","49405","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"101","69.165183","192.168.1.93","203.132.18.217","TCP","54","40","49408","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
