Number,Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,,PacketClassification
4331,234.896722,93.184.220.29,192.168.1.93,TCP,66,52,80,50434,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4332,234.896725,93.184.220.29,192.168.1.93,OCSP,865,851,80,50434,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4333,234.896776,192.168.1.93,93.184.220.29,TCP,66,52,50434,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4334,234.896846,93.184.220.29,192.168.1.93,TCP,66,52,80,50433,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4335,234.897719,93.184.220.29,192.168.1.93,OCSP,865,851,80,50433,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4336,234.897764,192.168.1.93,93.184.220.29,TCP,66,52,50433,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4337,234.935348,192.168.1.93,142.250.180.3,TCP,54,40,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4338,234.944734,142.250.180.3,192.168.1.93,TCP,66,52,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4339,234.952686,192.168.1.93,142.250.180.3,TCP,54,40,50345,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4340,234.952688,192.168.1.93,142.250.180.3,TCP,54,40,50344,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4341,234.962604,142.250.180.3,192.168.1.93,TCP,66,52,80,50344,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4342,234.962609,142.250.180.3,192.168.1.93,TCP,66,52,80,50345,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4343,238.169497,192.168.1.93,142.250.180.3,TCP,54,40,50346,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4344,238.180954,142.250.180.3,192.168.1.93,TCP,66,52,80,50346,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
