Number,Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,,PacketClassification
4179,206.500328,192.168.1.93,142.250.180.3,OCSP,498,484,50344,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4180,206.501524,192.168.1.93,142.250.180.3,OCSP,498,484,50345,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4181,206.505938,142.250.180.3,192.168.1.93,TCP,74,60,80,50346,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4182,206.506142,192.168.1.93,142.250.180.3,TCP,66,52,50346,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4183,206.507623,192.168.1.93,142.250.180.3,OCSP,498,484,50346,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4184,206.509945,142.250.180.3,192.168.1.93,TCP,66,52,80,50344,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4185,206.511406,142.250.180.3,192.168.1.93,TCP,66,52,80,50345,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4186,206.517895,142.250.180.3,192.168.1.93,TCP,66,52,80,50346,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4187,206.591289,142.250.180.3,192.168.1.93,OCSP,767,753,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4188,206.591349,192.168.1.93,142.250.180.3,TCP,66,52,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4189,206.60905,142.250.180.3,192.168.1.93,OCSP,767,753,80,50344,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4190,206.609117,192.168.1.93,142.250.180.3,TCP,66,52,50344,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4191,206.611228,142.250.180.3,192.168.1.93,OCSP,767,753,80,50345,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4192,206.611288,192.168.1.93,142.250.180.3,TCP,66,52,50345,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4193,206.615714,142.250.180.3,192.168.1.93,OCSP,767,753,80,50346,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4194,206.61581,192.168.1.93,142.250.180.3,TCP,66,52,50346,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4195,207.460646,192.168.1.93,172.64.155.188,TCP,54,40,50294,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4196,207.469732,172.64.155.188,192.168.1.93,TCP,54,40,80,50294,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4197,207.56085,192.168.1.93,172.64.155.188,TCP,54,40,50296,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4198,207.570652,172.64.155.188,192.168.1.93,TCP,54,40,80,50296,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4199,207.661928,192.168.1.93,172.64.155.188,TCP,54,40,50297,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4200,207.671208,172.64.155.188,192.168.1.93,TCP,54,40,80,50297,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4201,207.762012,192.168.1.93,93.184.220.29,TCP,54,40,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4202,207.771449,93.184.220.29,192.168.1.93,TCP,66,52,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4203,208.027639,192.168.1.93,142.250.180.3,OCSP,499,485,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4204,208.045996,142.250.180.3,192.168.1.93,TCP,66,52,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4205,208.064591,192.168.1.93,213.123.255.103,TCP,66,52,50329,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4206,208.073247,213.123.255.103,192.168.1.93,TCP,66,52,80,50329,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4207,208.073352,192.168.1.93,213.123.255.103,TCP,66,52,50329,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4208,208.135979,142.250.180.3,192.168.1.93,OCSP,768,754,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4209,208.136042,192.168.1.93,142.250.180.3,TCP,66,52,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4210,209.595731,192.168.1.93,142.250.180.3,OCSP,498,484,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4211,209.606,142.250.180.3,192.168.1.93,TCP,66,52,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4212,209.706416,142.250.180.3,192.168.1.93,OCSP,767,753,80,50309,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4213,209.706595,192.168.1.93,142.250.180.3,TCP,66,52,50309,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4214,209.814693,192.168.1.93,93.184.220.29,OCSP,496,482,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4215,209.82342,192.168.1.93,93.184.220.29,TCP,78,64,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4216,209.825692,93.184.220.29,192.168.1.93,TCP,66,52,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4217,209.825709,192.168.1.93,93.184.220.29,TCP,78,64,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4218,209.831759,93.184.220.29,192.168.1.93,OCSP,865,851,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4219,209.831818,192.168.1.93,93.184.220.29,TCP,66,52,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
